Epoch,Train_Loss,Val_Accuracy
1,0.09641660237312318,82.19999999999999
2,0.08952481079101562,82.69999999999999
3,0.08277185714244842,83.6
4,0.07691752862930298,83.0
5,0.07314760547876357,83.7
6,0.0700227814912796,83.2
7,0.06704901373386384,83.6
8,0.06297660702466965,83.1
9,0.056800685822963715,83.6
10,0.05457063150405884,84.2
11,0.050304710805416104,84.5
12,0.04569704979658127,84.39999999999999
13,0.04231388688087463,84.39999999999999
14,0.039795620977878574,84.0
15,0.038299860805273055,85.6
16,0.03366398134827614,85.2
17,0.03146070730686188,84.7
18,0.030734589993953704,84.5
19,0.028828153401613234,84.3
20,0.0272851382791996,83.5
21,0.025045464754104615,84.8
22,0.021693282157182695,85.2
23,0.021274949371814726,84.5
24,0.019276241958141326,84.3
25,0.017615237563848495,84.8
26,0.017824268579483032,85.0
27,0.016645515352487563,84.39999999999999
28,0.015168891280889512,84.8
29,0.014295807719230651,84.6
30,0.014459184363484383,85.2
31,0.012600803837180138,85.6
32,0.011246230036020278,84.2
33,0.010896833255887032,83.89999999999999
34,0.010505969539284706,85.6
35,0.010670295044779777,84.3
36,0.009130479231476784,85.5
37,0.010012076377868653,85.3
38,0.009718381315469742,85.2
39,0.007839779257774354,85.6
40,0.007295553714036941,85.39999999999999
41,0.006106911405920982,85.5
42,0.006432831116020679,85.2
43,0.006094603680074215,85.5
44,0.005551794797182083,85.2
45,0.005067625127732754,85.5
46,0.005618127465248108,85.8
47,0.00502702984213829,84.8
48,0.004268499478697777,85.3
49,0.004121912881731987,85.8
50,0.003850922733545303,85.5
